"Latitude","Longitude","Fuel Voltage Signal 1"
"-2.434125","34.821154",1876
"-2.434125","34.821154",1875
"-2.434125","34.821154",1875
"-2.434125","34.821154",1875
"-2.434125","34.821154",0
"-2.434125","34.821154",1875
"-2.434125","34.821154",3875
"-2.434137","34.821155",1874
"-2.434716","34.819986",1869
"-2.439587","34.815484",1864
"-2.446890","34.819168",1864
"-2.446381","34.818951",0
"-2.446381","34.818951",1857
"-2.446381","34.818951",1858
"-2.446381","34.818951",1861
"-2.446362","34.818993",1861
"-2.446362","34.818993",1861
"-2.446362","34.818993",1861
"-2.446362","34.818993",1861
"-2.446362","34.818993",1862
"-2.446362","34.818993",1863
"-2.446362","34.818993",1865
"-2.434125","34.821154",3875
"-2.446362","34.818993",1966
"-2.446362","34.818993",1869
"-2.446362","34.818993",1870
"-2.446362","34.818993",1871
"-2.446362","34.818993",1872
"-2.446362","34.818993",1873
"-2.446362","34.818993",1874
"-2.446362","34.818993",1874
"-2.446362","34.818993",1875
"-2.446362","34.818993",1876
"-2.446362","34.818993",1877
"-2.446362","34.818993",1877
"-2.446362","34.818993",1877
"-2.446362","34.818993",1879
"-2.446362","34.818993",0
"-2.446362","34.818993",1879
"-2.446386","34.818951",1878
"-2.446386","34.818951",1877
"-2.444963","34.816101",1878
"-2.433819","34.817831",1880
"-2.428200","34.822540",1878
"-2.430673","34.833513",1863
"-2.428396","34.842487",1855
"-2.434125","34.821154",3875
"-2.424653","34.853841",1849
"-2.418743","34.860503",1840
"-2.418691","34.860564",1840
"-2.418691","34.860564",1843
"-2.418810","34.860769",1839
"-2.418810","34.860769",1835
"-2.418810","34.860769",1836
"-2.419900","34.858790",1831
"-2.420179","34.857707",1823
"-2.420179","34.857707",1824
"-2.420179","34.857707",1824
"-2.420179","34.857707",1823
"-2.420748","34.857068",1823
"-2.420748","34.857068",1819
"-2.420728","34.857076",1819
"-2.420805","34.857117",1818
"-2.420805","34.857117",1816
"-2.422251","34.856780",1815
"-2.427822","34.845539",1813
"-2.430488","34.832772",1805
"-2.428193","34.822461",1799
"-2.431671","34.823762",1802
"-2.431711","34.823666",0
"-2.431711","34.823666",1799
"-2.431711","34.823666",1801
"-2.431711","34.823666",1802
"-2.431711","34.823666",1801
"-2.431711","34.823666",1800
"-2.431711","34.823666",1800
"-2.431711","34.823666",1799
"-2.431711","34.823666",1797
"-2.431711","34.823666",1797
"-2.431711","34.823666",1796
"-2.430406","34.819754",1794
"-2.436151","34.817078",1788
"-2.436208","34.808445",1785
"-2.428185","34.801547",1784
"-2.412343","34.805671",1780
"-2.397163","34.811191",1776
"-2.387544","34.817615",419
"-2.371487","34.823064",1772
"-2.353432","34.831587",1763
"-2.342959","34.837952",1759
"-2.335442","34.841095",1758
"-2.327667","34.846327",1759
"-2.317076","34.843090",1757
"-2.305750","34.838835",1745
"-2.291328","34.830250",1736
"-2.274251","34.830294",1732
"-2.262557","34.808673",1723
"-2.248825","34.787270",1716
"-2.231300","34.774616",1712
"-2.215536","34.756250",1698
"-2.198259","34.739607",1691
"-2.189001","34.725546",1689
"-2.188714","34.725276",1682
"-2.188714","34.725276",1677
"-2.188714","34.725276",1680
"-2.188714","34.725276",3200
"-2.188722","34.725278",1682
"-2.188722","34.725278",1683
"-2.188787","34.725276",1682
"-2.189574","34.725170",1677
"-2.189574","34.725181",1680
"-2.189571","34.725187",1681
"-2.189562","34.725177",1682
"-2.188445","34.725347",1678
"-2.188447","34.725348",1674
"-2.188447","34.725348",1678
"-2.188475","34.725359",1678
"-2.188861","34.725221",1676
"-2.188910","34.725015",1675
"-2.188910","34.725016",1680
"-2.188910","34.725016",1680
"-2.188907","34.724966",1680
"-2.171282","34.719587",1672
"-2.156087","34.703123",1655
"-2.150401","34.683931",1640
"-2.135209","34.675687",1632
"-2.118961","34.662218",1632
"-2.099103","34.645435",1634
"-2.087085","34.632402",1637
"-2.087614","34.636486",1640
"-2.087551","34.636394",1640
"-2.087551","34.636394",1641
"-2.087551","34.636394",1645
"-2.087551","34.636394",1649
"-2.087551","34.636394",1647
"-2.087551","34.636394",1640
"-2.087490","34.636328",1640
"-2.087490","34.636328",1640
"-2.087490","34.636328",1639
"-2.087490","34.636328",1638
"-2.087490","34.636328",1637
"-2.087490","34.636328",1637
"-2.087490","34.636328",1640
"-2.087490","34.636328",1642
"-2.087490","34.636328",1644
"-2.087492","34.636343",1645
"-2.087492","34.636343",1645
"-2.087509","34.636356",1658
"-2.087509","34.636356",1673
"-2.086943","34.635421",1675
"-2.087713","34.632785",1676
"-2.092404","34.637960",1674
"-2.101585","34.647713",1666
"-2.114517","34.658409",1655
"-2.130535","34.671886",1645
"-2.147247","34.681598",1636
"-2.150479","34.683848",1629
"-2.154131","34.689631",1623
"-2.155995","34.709311",1620
"-2.171847","34.719659",1618
"-2.187648","34.723331",1615
"-2.189890","34.728550",1608
"-2.199746","34.741410",1598
"-2.212062","34.754141",1593
"-2.225345","34.768416",1585
"-2.240668","34.781744",1577
"-2.257198","34.795312",1566
"-2.264896","34.816004",1553
"-2.278165","34.830002",1543
"-2.289013","34.829953",1536
"-2.299912","34.833105",1532
"-2.307009","34.839876",1527
"-2.312306","34.840999",1523
"-2.313019","34.838980",1517
"-2.309747","34.826821",1511
"-2.301062","34.815766",1510